"nome_do_funcionario","item_comprado","valor_em_real","data_da_compra"
"Amanda Jones","Copy Paper","227.0","2024-12-01 18:05:04"
"Patrick Kavuma","Counselling Services","88.0","2024-01-18 18:26:17"
"Daljit Singh","Tablet","1299.0","2024-06-12 09:05:57"
"NARKOTA, ATEE","GASOLINA NATURAL ASASIN 100","17.6","2024-03-07 15:11:16"
"Cheryl Vile","Computer and accessories","2.81","2024-03-20 10:48:04"
"PRITI SHARMA","Furniture","260.0","2024-03-24 01:10:00"
"Dennis S.","Tapetes","13.0","2024-06-21 19:17:51"
"A. S. M. Rashed","Motor Vehicle","2.6","2024-10-12 12:48:51"
"Davinia A","Congress","196.85","2024-09-25 02:27:23"
"Mrs. Safaqat Aalvi","Articles for office","161.0","2024-06-18 14:29:41"
"MRS DARLA LISA","GASOLINA","139.0","2024-06-11 23:14:08"
"Kevin Shannon","Battery Charger","129.99","2024-06-28 13:01:08"
"Bogicic, Marko","Ação manobras de veículo (Pilotagem)","309.0","2024-05-28 13:22:17"
"Sneha","Office Supplies","228.75","2024-12-09 14:09:48"
"Piseth Kimsung","RONALD MCDONALD HAPPY MEALS","5.0","2024-01-01 19:02:00"
"Agha Shams Fatima","Cake","12.95","2024-05-04 12:51:13"
"MARTIN LOUIS","Aluguel de Imóvel","3912.77","2024-12-18 12:14:32"
"E. GYAMFI-AMADI","Public service","1.0","2024-09-22 00:26:32"
"Ganapathi","Anil Kumar IAS","18.85","2024-07-25 17:45:09"
"Suzanne L. Sanchez","BARBOUR MENS BELTED WATERPROOF FLEECE","34.4","2024-09-21 14:12:14"
"Javier","Servi├žos de Fisioterapia","173.0","2024-03-16 18:21:29"
"Mr. Marlin Scurlock","Italian leather briefcase","185.0","2024-04-13 10:24:21"
"John","Driving Licence","110.7","2024-05-16 14:26:38"
"Jiang, Hui","Plane ticket","1267.79","2024-02-21 12:13:46"
"Mary","Cup of coffee","2.8","2024-08-31 14:59:04"
"Murray","Office supplies","30.94","2024-07-04 16:26:33"
"P.M.","Liquefying/sulfurizing plant","24.19","2024-01-28 12:41:08"
"SARAH M PETERSON","Beer","15.5","2024-05-31 00:00:00"
"Akhtar, Shehla","SERVICE FACILITY","287.0","2024-12-29 17:50:24"
"Khairul Anuar","Aparelho de computador","548.0","2024-12-18 13:12:28"
"KANSHIKA DHAREEK","cleaning services","92.75","2024-08-17 14:50:30"
"SILVIU CĂLIN","GRAÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁÁ","428.0","2024-03-14 19:07:03"
"SMITH, MICHAEL","CAR CAJE ROLO 20LT BLACK","121.09","2024-04-23 15:41:00"
"JAKE KOWALSKY","Dell 13 Touchscreen Latitude E5470","1413.98","2024-03-13 12:29:57"
"MARIA ANTONIETA GONZÁLEZ LUIJO","TV 157 CM LCD 1080p Full HD 40W 2 HDMI 1 VGA","3872.0","2024-01-29 20:01:56"
"JACKSON, MIKE","Liquido para lavar lentes","47.37","2024-05-16 11:58:27"
"Michael Brennan","Automobiles","2231.12","2024-04-15 09:08:49"
"Sindhu Joseph","Gasoline","10.0","2024-06-30 08:50:17"
"JANICE GUERRERO","Binder","694.0","2024-01-14 13:05:47"
"KLWANA, MATSIELA","Jumping Castle","139.9","2024-09-29 17:19:46"
"EMMANUEL","ALIMENTAÇÃO","5.89","2024-10-08 10:59:18"
"Derek Nicholls","Household Appliances","183.57","2024-01-26 08:27:48"
"Mrs. Terri Mckenzie","Hundreds of Thousands of Dollars","432.0","2024-04-19 22:46:53"
"Juanita Baxter","Kraft cheese singles (250g x 12)","141.38","2024-08-14 09:03:13"
"Trevor","Motorola Droid Pro","1977.0","2024-07-21 00:28:52"
"Harry James Long","Courier services","247.0","2024-08-13 13:30:15"
"Mrs. Maria L. Mathieson","Office supplies","11.14","2024-05-26 06:24:57"
1020000000316105,"COMPRA","22.64","2024-09-05 12:28:41"
"RIZAL, MARIA LIRA","Tarjeta de Crédito para o Governo","2.5","2024-05-10 02:40:11"
"Abraham, Michael","JUSTICA E SEGURANÃ‡A","0.0","2024-11-14 08:14:35"
"Sobhan Khatibi","Papel - A4, 100 folhas, B sides, 80 g/m², Papelão, 20007-738","16.4","2024-02-20 15:11:52"
"Mrs. Vinita","Government","18.0","2024-01-04 11:53:53"
"Sébastien Lévesque","Coffee","115.42","2024-04-08 18:53:03"
"DERRICK MANDLA TSHIKOLA","Fuel","115.17","2024-10-12 16:59:24"
"Megan","General","2.0","2024-02-08 09:49:01"
"SIVINOVSKI MICHAEL","Buy","17.45","2024-06-12 15:03:41"
"JOHN THOMPSON","T-Shirt","29.0","2024-01-01 00:00:00"
"OGA KURAPATI","COMPUTERS","1128.0","2024-07-08 11:03:23"
"DONATAS MILIUS","Chamada de internet para a Internet","19.16","2024-08-20 16:32:11"
"DUNCAN, STEPHEN","48/128/011/0143","35.0","2024-03-07 12:04:21"
"Jasjit Singh","Cupboard","118.7","2024-03-14 08:49:16"
"Ashraf, A","Cavernaria","595.0","2024-01-23 15:36:26"
"MRS. KANDI GUNDU","Purchase of goods for government","113.0","2024-03-02 09:13:21"
"Arun Prasad","Concessionary Oil","22.8","2024-07-18 15:29:53"
"SHILPA SHIVA","PAYMENT FOR BUS FARE","1.21","2024-08-06 17:27:33"
"Barbara M. Ramos","Outros","99.99","2024-09-01 13:52:51"
"Christine","Government","19.0","2024-09-14 14:33:10"
"Bobbie England","Wireless Keyboard","48.9","2024-06-16 14:11:18"
"Mr. Dhruv Kothari","Armchair","225.0","2024-02-03 12:35:42"
"Thuan Pham","Paper for Printer","2.99","2024-12-17 11:53:58"
"Maryam","High Fidelity","822.0","2024-11-22 13:16:54"
"Human Resources","Government","114.64","2024-11-08 04:20:11"
"SAMUEL DE LEON","Brasil","350.0","2024-12-04 00:41:23"
"PHILIP THERON","MARINA MEDIALOS","38.37","2024-09-08 17:26:30"
"Mr. Sumit Kumar","Government (18-30)","254.28","2024-03-26 21:24:44"
"TAMILSELVAN, N","LIGA BROTHER MFC-J480DW","4452.0","2024-08-07 14:03:41"
"DANIEL SAMUEL AKUJE","SALVAÇÃO CAPITAL INVESTIMENTOS","100000.0","2024-02-02 15:23:05"
"Graham, Davies","Purchase for government","36.5","2024-12-31 19:48:23"
"Julio Belleza","FACE MASK","0.49","2024-04-20 08:27:38"
"Hilary","Celular","438.0","2024-12-19 11:59:40"
"MENGISTU ALEMSEGED","Fuel","15.0","2024-07-24 10:36:43"
"Abdul","Telephone","173.0","2024-03-15 12:42:13"
"Gosha","Ingredients for a birthday cake","45.99","2024-12-22 10:33:40"
"KANIKA, DEVAS","TRANSPORTES","18.7","2024-02-28 15:24:37"
"Varun Kumar","Sony smartphone","1123.5","2024-09-24 22:13:32"
"MARIA NDABA RANTAO","Government","1115.12","2024-10-10 14:08:59"
"Lisa","Remuneração","3068.0","2024-01-19 08:54:39"
"Ajibade, Adebayo","Furniture","240.0","2024-09-21 18:44:52"
"Peter Telfair","Fuel - Regular","29.4","2024-12-03 09:32:19"
"AQUINO, JOSUE","ALCOOL BIOETANOL ADICIONADO A GASOLINA SUPER DIESEL 95","121.25","2024-02-25 14:41:53"
"SAMUEL A","Government","66.0","2024-09-13 12:01:00"
"Charlotte Michel","Transference of credit","15.0","2024-01-15 15:02:59"
"Mrs. Ethel Nguyen","Stationery","130.0","2024-06-16 12:45:38"
"Ehsan Ebrahimi","AED 3066.67","9879.69","2024-01-22 10:17:18"
"Deborah","Sistema de desenvolvimento de software","23800.0","2024-12-19 08:24:33"
"López, Lucila","FRETE","1.87","2024-04-24 08:34:03"
"Bhoomi","Liquid Soap","10.4","2024-05-21 11:21:52"
"Sau Kwang Shun","Siegel 300 22"" Multifunction Laser Beam Printer","1898.0","2024-11-20 09:41:40"
"Andrew Dunn","Cadastro de Imóvel - Residência","272.0","2024-09-25 09:47:56"
"Ezequiel Ramos","Máquina para colocar o chá","11.66","2024-08-13 09:24:20"
"Tomás García Gómez","Máquina de costura","129.0","2024-06-07 12:42:17"
"Geraldine Scarlett","Cubos de tinta de impressora","22.5","2024-07-09 13:49:04"
"Connie Maldonado","Microfone","28.99","2024-03-22 00:00:00"
"राज गुप्ता","550/-","9.15","2024-03-23 06:13:11"
"Uchechukwu Josephine","Booster vaccine","1425.0","2024-06-11 11:48:11"
"Dalakaranjit Singh","Camisa","56.0","2024-01-17 10:36:34"
"Samantha Crosby","Biscuits","1.86","2024-01-13 16:03:45"
"Awalu, Alhaji Abubakar",200000000,"3984.0","2024-07-23 15:59:58"
"Teresa","Televisão","937.0","2024-09-13 16:26:12"
"Haji Mohammad Siddiq","Handphone Samsung Galaxy A20","999.0","2024-04-26 15:07:22"
"K. S. P.","Bilhete de ônibus","2.5","2024-06-10 10:35:12"
"LUIS ANDRADE","Fuel","99.97","2024-05-19 21:32:12"
"Matthew James WILSON","Mobile Phone","1486.0","2024-04-21 17:24:54"
"DENNIS, MARK","Office Furniture","67.5","2024-08-13 10:19:00"
"RK","SALA DE ACOMPANHAMENTO","470.0","2024-05-25 13:34:13"
"James Joseph Guerin","Food","110.0","2024-03-25 15:37:00"
"N. J. SCHMITT","TREATMENTS AND CONSULTATIONS","118.76","2024-09-25 14:37:21"
"Robertsson, Johan","Kawasaki Ninja 1500","17444.97","2024-08-29 10:20:09"
"Md. Nuruzzaman","Jet's Chicken","21.96","2024-12-24 18:38:31"
"Benjamin Cox","Systems Integration Contracting Services","14367.0","2024-09-24 11:36:47"
"SHIN, IN YOUNG","SALARIO","3850.0","2024-01-04 12:45:09"
"YAOHUI, ZHANG","Vendas","433.88","2024-09-22 01:36:20"
"BHAGWAN CHAUDHARY","GOA VITAMIN","80.2","2024-06-24 13:08:47"
"Askarbek B. Toktogulov","Foods and beverages","1.37","2024-07-26 12:05:06"
"RICARDO LEONARDO BRUNO","SEGURANÇA ALIMENTAR/ AGROPECUARIA","319.0","2024-04-16 15:08:56"
"Mrs. Jovita Norwood","Electronic Notebook","2799.0","2024-02-17 15:48:00"
"PADMASANI CHIBB","Fuel","56.98","2024-05-28 13:35:39"
"Albert Taschuk","Kitchen items","21.0","2024-12-30 16:31:35"
"NICOLE DELI","Equipamento de comunicação","21.55","2024-06-17 08:48:37"
"Aitken, Allison","Purchase of School Supplies","1428.0","2024-01-26 16:45:00"
"Robert","Carro","32523.0","2024-08-03 14:28:24"
"Babatunde Olufemi Olaseni","Prospective Academy","8960000.0","2024-06-04 07:44:41"
"Ng","Alcoholic beverages and soft drinks","12.63","2024-11-10 13:50:44"
"Olayemi Yinka","Travel Allowance","121.22","2024-01-11 16:44:28"
"KONSTANTINOS SAMARAS","SOFTWARE SERVICES","2499.0","2024-08-03 22:34:47"
"Maria","Celular","1667.2","2024-07-16 13:53:46"
"Nickelope Ekechukwu","1.25 Ltr Sprite","3.75","2024-06-13 07:25:00"
"Amruta Shalini Shinde",1000,"2.0","2024-09-15 13:53:43"
"Essaied, Mohamed","Não","0.0","2024-12-27 18:00:00"
"Sgt. Abdullah P. Wagner","1976 Dodge D100","436.39","2024-08-18 17:44:11"
"Terry Allen","Fuel","18.22","2024-02-06 11:18:21"
"KOKALA, DORETHY","novo registro","15.31","2024-05-10 18:02:27"
"Mr. P. R. Patel","Ball and die","171.0","2024-05-01 10:14:51"
"MR. K. S. RAGUPATHY","Fertiliser","16.69","2024-03-08 19:42:20"
"Mr T. Jessa","Health Insurance","56.74","2024-12-09 11:53:07"
"PHILLIPS, DANIEL F","Food and Beverages","164.08","2024-01-11 15:15:00"
"Peter","Computador para a Secretaria Auxiliar de Administração","1152.0","2024-06-12 14:10:00"
"Michael G Alonso","Procuração de Segurança Pessoal","697.0","2024-01-11 21:47:57"
"D. E. N.","Dispositivo de pesquisa","2.5","2024-10-02 14:54:50"
"Martin","Júri","20.0","2024-11-12 10:19:19"
"KATHERINE O'CONNOR","Fundos Especiais de Recuperação","1.5","2024-06-04 12:36:37"
"Xavier M","Compras","16.78","2024-02-03 15:19:31"
"Thomas, Katharine","Fundamental School of Sao Paulo","1499.0","2024-02-24 15:59:39"
"SCHAFF, LARRY W","C-64","156.0","2024-05-06 19:03:50"
"Andrew Smith","Office Supplies","185.95","2024-08-15 09:05:55"
"Amélie Pallard","Food for School Canteen","15.0","2024-07-13 06:56:08"
"Mrs. Flora Hoyle","Office supplies","31.67","2024-10-13 14:27:26"
"Sivakumar G.","Office Supplies","1.0","2024-07-07 14:00:54"
"Ajay Kumar Avinash","Purchase for Government","159.05","2024-08-19 12:13:36"
"Jonathan Pecoraro","Remuneração","8000.0","2024-08-25 09:04:07"
"CHOUFAN, Nicholas","MUNICIPAL POLICE","21.3","2024-10-26 11:44:59"
"Mr. Zohaib Mansoor","Honda City","14762.0","2024-09-25 17:48:23"
"TITO DIGO","Alimentos, bebidas e tabaco","3.29","2024-07-24 12:38:28"
"Kabira, Beatrice K.","Dresses","139.57","2024-07-02 16:56:16"
"AHMET BAYRAM","Armario","246.9","2024-05-20 03:55:54"
"Ntshinga, Bongani","ECD","28.45","2024-01-05 10:39:58"
"Raman, Gulab Singh","Indian Navy","48.6","2024-09-12 13:18:24"
"Mr. B A G P A A","Laminado","26.0","2024-06-29 08:25:21"
"Dr. DAMODARAN, K.","Computer tablet","2017.0","2024-07-29 14:15:34"
"Adele Blurton","Samsung 1tb 860 evo m2 nvme solid state drive ssd","838.67","2024-09-11 11:11:05"
"Suleyman TOPCU","Equipment (telephones, laptops, computers, etc.)","99.0","2024-09-22 09:17:06"
"Caleb","Machine Oil","12.15","2024-05-24 10:02:18"
"Mrs. Nedra Gentry","Table and Chairs","45.0","2024-05-13 01:09:26"
"Phillip Yerin","Honorários de funcionários","2279.0","2024-02-06 10:17:52"
"Michael G. Polin","SANDWICH, CHEESEBURGER","8.48","2024-11-11 06:17:48"
"JARED","Governmental Services","94.99","2024-04-24 12:45:21"
"BHARATI KUMARI","OFFICE STATIONERY","20.49","2024-05-01 13:31:57"
"Vijay","Pulp","2.79","2024-09-05 01:56:12"
"Joseph, Joseph","Software","1190.0","2024-07-12 11:37:50"
"وليد سامي السيد جمعة الثوري","مصنع وكالة اي بى سى وكالة اي بى سى للتجارة","13300.0","2024-04-24 11:56:05"
"Edwin Owusu","Linen","1500.0","2024-07-24 09:37:53"
"سلام رضا احمدزاده جند","گرمسار پیام استان یزد","103.89","2024-04-14 07:28:04"
"ALP, ANTHONY","Rodada (Round)","29.0","2024-02-18 21:04:32"
"MRS. OLUWADE MOTUNRAYO","PAYMENT OF SALARY","840.0","2024-08-05 00:46:28"
"Aaron Anthony","LAMPADA LED","41.21","2024-06-13 18:04:34"
"Mr Vijay Kumar","Battery Charger","55.0","2024-06-13 22:44:03"
"Mrs. Cindy White","Liquid Soap","77.0","2024-07-28 10:08:18"
"Oyewumi Adebisi A","Electrical Stoves","1712.95","2024-04-13 15:59:19"
"Vail, John","Hospital and medical services","159.0","2024-09-03 16:30:19"
"Elizabeth TERRELL","-","0.0","2024-02-04 14:04:14"
"Agnes APPLEBY","Showel","2.0","2024-01-16 08:55:41"
"James Hannah","PHONE","1190.0","2024-07-16 12:15:29"
"T. S.","Gas","24.75","2024-09-08 04:27:18"
"Susan","Materiais de Limpeza","14.0","2024-12-15 14:22:57"
"Mrs. Wynn Fraser","Seleção de Produtos Finais","1959.0","2024-12-11 19:34:49"
